index,surah,ayah,transliteration
1,1,1,bis'mi al-lahi ar-rahmani ar-rahimi
2,1,2,al-hamdu lillahi rabbi al-'alamina
3,1,3,ar-rahmani ar-rahimi
4,1,4,maliki yawmi ad-dini
5,1,5,iyyaka na'budu wa-iyyaka nasta'inu
6,1,6,ih'dina as-sirata al-mus'taqima
7,1,7,sirata alladhina an'amta alayhim ghayri al-maghdubi alayhim wala ad-dalina
8,2,1,alif-lam-meem
9,2,2,dhalika al-kitabu la rayba fihi hudan lil'muttaqina
10,2,3,alladhina yu'minuna bil-ghaybi wayuqimuna as-salata wamimma razaqnahum yunfiquna
11,2,4,wa-alladhina yu'minuna bima unzila ilayka wama unzila min qablika wabil-akhirati hum yuqinuna
12,2,5,ulaika ala hudan min rabbihim wa-ulaika humu al-muf'lihuna
13,2,6,inna alladhina kafaru sawaon alayhim a-andhartahum am lam tundhir'hum la yu'minuna
14,2,7,khatama al-lahu ala qulubihim wa'ala sam'ihim wa'ala absarihim ghishawatun walahum adhabun azimun
15,2,8,wamina an-nasi man yaqulu amanna bil-lahi wabil-yawmi al-akhiri wama hum bimu'minina
16,2,9,yukhadi'una al-laha wa-alladhina amanu wama yakhda'una illa anfusahum wama yash'uruna
17,2,10,fi qulubihim maradun fazadahumu al-lahu maradan walahum adhabun alimun bima kanu yakdhibuna
18,2,11,wa-idha qila lahum la tuf'sidu fi al-ardi qalu innama nahnu mus'lihuna
19,2,12,ala innahum humu al-muf'siduna walakin la yash'uruna
20,2,13,wa-idha qila lahum aminu kama amana an-nasu qalu anu'minu kama amana as-sufahau ala innahum humu as-sufahau walakin la ya'lamuna
21,2,14,wa-idha laqu alladhina amanu qalu amanna wa-idha khalaw ila shayatinihim qalu inna ma'akum innama nahnu mus'tahziuna
22,2,15,al-lahu yastahzi-u bihim wayamudduhum fi tugh'yanihim ya'mahuna
23,2,16,ulaika alladhina ish'tarawu ad-dalalata bil-huda fama rabihat tijaratuhum wama kanu muh'tadina
24,2,17,mathaluhum kamathali alladhi is'tawqada naran falamma adaat ma hawlahu dhahaba al-lahu binurihim watarakahum fi zulumatin la yub'siruna
25,2,18,summun buk'mun um'yun fahum la yarji'una
26,2,19,aw kasayyibin mina as-samai fihi zulumatun wara'dun wabarqun yaj'aluna asabi'ahum fi adhanihim mina as-sawa'iqi hadhara al-mawti wal-lahu muhitun bil-kafirina
27,2,20,yakadu al-barqu yakhtafu absarahum kullama adaa lahum mashaw fihi wa-idha azlama alayhim qamu walaw shaa al-lahu ladhahaba bisam'ihim wa-absarihim inna al-laha ala kulli shayin qadirun
28,2,21,yaayyuha an-nasu u'budu rabbakumu alladhi khalaqakum wa-alladhina min qablikum la'allakum tattaquna
29,2,22,alladhi ja'ala lakumu al-arda firashan was-samaa binaan wa-anzala mina as-samai maan fa-akhraja bihi mina at-thamarati riz'qan lakum fala taj'alu lillahi andadan wa-antum ta'lamuna
30,2,23,wa-in kuntum fi raybin mimma nazzalna ala abdina fatu bisuratin min mith'lihi wa-id'u shuhadaakum min duni al-lahi in kuntum sadiqina
31,2,24,fa-in lam taf 'alu walan taf 'alu fa-ittaqu an-nara allati waquduha an-nasu wal-hijaratu u'iddat lil'kafirina
